County,Positive_Cases,Deaths
Illinois,23247,868
Chicago,9616,328
Adams,27,0
Bond,4,0
Boone,13,1
Bureau,6,0
Calhoun,1,0
Carroll,5,1
Champaign,88,2
Christian,24,3
Clark,4,0
Clay,1,0
Clinton,38,0
Coles,8,0
Cook,6707,249
Crawford,4,0
Cumberland,2,0
DeKalb,35,1
De Witt,1,0
Douglas,11,0
DuPage,1312,61
Effingham,3,1
Fayette,12,1
Ford,4,1
Franklin,4,0
Fulton,1,0
Gallatin,2,0
Greene,1,0
Grundy,24,0
Hancock,1,0
Henry,23,0
Iroquois,9,0
Jackson,35,3
Jasper,3,1
Jefferson,8,0
Jersey,6,0
Jo Daviess,11,0
Johnson,1,0
Kane,448,24
Kankakee,220,10
Kendall,114,2
Knox,2,0
Lake,1621,58
LaSalle,23,1
Lawrence,2,0
Lee,13,0
Livingston,17,0
Logan,4,0
McDonough,2,0
McHenry,257,8
McLean,81,2
Macon,45,1
Macoupin,16,0
Madison,128,2
Marion,14,0
Marshall,2,0
Mason,3,0
Massac,3,0
Menard,2,0
Mercer,3,0
Monroe,47,3
Montgomery,9,1
Morgan,11,1
Moultrie,2,0
Ogle,26,0
Peoria,31,1
Perry,1,0
Piatt,6,0
Pike,1,0
Pulaski,5,0
Randolph,41,0
Richland,1,0
Rock Island,113,3
St. Clair,220,8
Saline,3,0
Sangamon,50,3
Schuyler,1,0
Shelby,4,0
Stark,1,0
Stephenson,9,0
Tazewell,21,3
Unassigned,54,1
Vermilion,8,0
Wabash,2,0
Warren,2,0
Washington,2,0
Whiteside,30,2
Will,1350,77
Williamson,10,0
Winnebago,101,4
Woodford,10,0
