,County,Positive_Cases,Deaths,update_date,update_time
0,Illinois,27575,1134,04-17-2020,17:34
1,Chicago,11409,427,04-17-2020,17:34
2,Adams,30,0,04-17-2020,17:34
3,Alexander,1,0,04-17-2020,17:34
4,Bond,4,1,04-17-2020,17:34
5,Boone,21,2,04-17-2020,17:34
6,Bureau,7,0,04-17-2020,17:34
7,Calhoun,1,0,04-17-2020,17:34
8,Carroll,5,1,04-17-2020,17:34
9,Champaign,92,4,04-17-2020,17:34
10,Christian,24,4,04-17-2020,17:34
11,Clark,4,0,04-17-2020,17:34
12,Clay,1,0,04-17-2020,17:34
13,Clinton,42,0,04-17-2020,17:34
14,Coles,9,0,04-17-2020,17:34
15,Cook,7982,333,04-17-2020,17:34
16,Crawford,4,0,04-17-2020,17:34
17,Cumberland,2,0,04-17-2020,17:34
18,DeKalb,46,1,04-17-2020,17:34
19,De Witt,1,0,04-17-2020,17:34
20,Douglas,12,0,04-17-2020,17:34
21,DuPage,1560,77,04-17-2020,17:34
22,Effingham,3,1,04-17-2020,17:34
23,Fayette,12,1,04-17-2020,17:34
24,Ford,4,1,04-17-2020,17:34
25,Franklin,5,0,04-17-2020,17:34
26,Fulton,1,0,04-17-2020,17:34
27,Gallatin,2,0,04-17-2020,17:34
28,Greene,1,0,04-17-2020,17:34
29,Grundy,24,0,04-17-2020,17:34
30,Hancock,3,0,04-17-2020,17:34
31,Henderson,1,0,04-17-2020,17:34
32,Henry,28,0,04-17-2020,17:34
33,Iroquois,12,0,04-17-2020,17:34
34,Jackson,40,4,04-17-2020,17:34
35,Jasper,4,1,04-17-2020,17:34
36,Jefferson,11,0,04-17-2020,17:34
37,Jersey,8,0,04-17-2020,17:34
38,Jo Daviess,11,0,04-17-2020,17:34
39,Johnson,2,0,04-17-2020,17:34
40,Kane,538,28,04-17-2020,17:34
41,Kankakee,260,10,04-17-2020,17:34
42,Kendall,123,2,04-17-2020,17:34
43,Knox,3,0,04-17-2020,17:34
44,Lake,1914,71,04-17-2020,17:34
45,LaSalle,27,1,04-17-2020,17:34
46,Lawrence,2,0,04-17-2020,17:34
47,Lee,17,0,04-17-2020,17:34
48,Livingston,18,0,04-17-2020,17:34
49,Logan,4,0,04-17-2020,17:34
50,McDonough,3,0,04-17-2020,17:34
51,McHenry,306,13,04-17-2020,17:34
52,McLean,83,3,04-17-2020,17:34
53,Macon,47,5,04-17-2020,17:34
54,Macoupin,17,0,04-17-2020,17:34
55,Madison,157,5,04-17-2020,17:34
56,Marion,17,0,04-17-2020,17:34
57,Marshall,2,0,04-17-2020,17:34
58,Mason,4,0,04-17-2020,17:34
59,Massac,3,0,04-17-2020,17:34
60,Menard,2,0,04-17-2020,17:34
61,Mercer,4,0,04-17-2020,17:34
62,Monroe,52,6,04-17-2020,17:34
63,Montgomery,11,1,04-17-2020,17:34
64,Morgan,12,1,04-17-2020,17:34
65,Moultrie,2,0,04-17-2020,17:34
66,Ogle,40,1,04-17-2020,17:34
67,Peoria,34,1,04-17-2020,17:34
68,Perry,1,0,04-17-2020,17:34
69,Piatt,7,0,04-17-2020,17:34
70,Pike,1,0,04-17-2020,17:34
71,Pulaski,5,0,04-17-2020,17:34
72,Randolph,48,1,04-17-2020,17:34
73,Richland,2,0,04-17-2020,17:34
74,Rock Island,167,4,04-17-2020,17:34
75,St. Clair,254,17,04-17-2020,17:34
76,Saline,3,0,04-17-2020,17:34
77,Sangamon,58,3,04-17-2020,17:34
78,Schuyler,1,0,04-17-2020,17:34
79,Shelby,4,0,04-17-2020,17:34
80,Stark,1,0,04-17-2020,17:34
81,Stephenson,10,0,04-17-2020,17:34
82,Tazewell,21,3,04-17-2020,17:34
83,Unassigned,74,1,04-17-2020,17:34
84,Union,4,0,04-17-2020,17:34
85,Vermilion,8,0,04-17-2020,17:34
86,Wabash,1,0,04-17-2020,17:34
87,Warren,2,0,04-17-2020,17:34
88,Washington,5,0,04-17-2020,17:34
89,Wayne,1,0,04-17-2020,17:34
90,Whiteside,31,3,04-17-2020,17:34
91,Will,1566,90,04-17-2020,17:34
92,Williamson,13,0,04-17-2020,17:34
93,Winnebago,145,4,04-17-2020,17:34
94,Woodford,11,0,04-17-2020,17:34
