,County,Positive_Cases,Deaths,Tested,update_date,update_time
0,Illinois,29160,1259,137404,04-18-2020,22:15
1,Chicago,12007,491,0,04-18-2020,22:15
2,Adams,31,0,0,04-18-2020,22:15
3,Alexander,1,0,0,04-18-2020,22:15
4,Bond,4,1,0,04-18-2020,22:15
5,Boone,29,2,0,04-18-2020,22:15
6,Bureau,8,0,0,04-18-2020,22:15
7,Calhoun,1,0,0,04-18-2020,22:15
8,Carroll,6,1,0,04-18-2020,22:15
9,Champaign,93,4,0,04-18-2020,22:15
10,Christian,25,4,0,04-18-2020,22:15
11,Clark,4,0,0,04-18-2020,22:15
12,Clay,1,0,0,04-18-2020,22:15
13,Clinton,44,0,0,04-18-2020,22:15
14,Coles,14,0,0,04-18-2020,22:15
15,Cook,8388,369,0,04-18-2020,22:15
16,Crawford,5,0,0,04-18-2020,22:15
17,Cumberland,2,0,0,04-18-2020,22:15
18,DeKalb,54,1,0,04-18-2020,22:15
19,De Witt,1,0,0,04-18-2020,22:15
20,Douglas,12,0,0,04-18-2020,22:15
21,DuPage,1642,82,0,04-18-2020,22:15
22,Effingham,4,1,0,04-18-2020,22:15
23,Fayette,13,1,0,04-18-2020,22:15
24,Ford,5,1,0,04-18-2020,22:15
25,Franklin,5,0,0,04-18-2020,22:15
26,Fulton,1,0,0,04-18-2020,22:15
27,Gallatin,2,0,0,04-18-2020,22:15
28,Greene,1,0,0,04-18-2020,22:15
29,Grundy,26,0,0,04-18-2020,22:15
30,Hamilton,1,0,0,04-18-2020,22:15
31,Hancock,3,0,0,04-18-2020,22:15
32,Henderson,2,0,0,04-18-2020,22:15
33,Henry,30,0,0,04-18-2020,22:15
34,Iroquois,12,0,0,04-18-2020,22:15
35,Jackson,42,4,0,04-18-2020,22:15
36,Jasper,7,1,0,04-18-2020,22:15
37,Jefferson,12,0,0,04-18-2020,22:15
38,Jersey,8,0,0,04-18-2020,22:15
39,Jo Daviess,12,0,0,04-18-2020,22:15
40,Johnson,2,0,0,04-18-2020,22:15
41,Kane,582,29,0,04-18-2020,22:15
42,Kankakee,272,12,0,04-18-2020,22:15
43,Kendall,135,3,0,04-18-2020,22:15
44,Knox,5,0,0,04-18-2020,22:15
45,Lake,2073,75,0,04-18-2020,22:15
46,LaSalle,27,1,0,04-18-2020,22:15
47,Lawrence,2,0,0,04-18-2020,22:15
48,Lee,17,0,0,04-18-2020,22:15
49,Livingston,17,0,0,04-18-2020,22:15
50,Logan,4,0,0,04-18-2020,22:15
51,McDonough,3,0,0,04-18-2020,22:15
52,McHenry,340,17,0,04-18-2020,22:15
53,McLean,83,3,0,04-18-2020,22:15
54,Macon,55,7,0,04-18-2020,22:15
55,Macoupin,21,0,0,04-18-2020,22:15
56,Madison,169,5,0,04-18-2020,22:15
57,Marion,19,0,0,04-18-2020,22:15
58,Marshall,3,0,0,04-18-2020,22:15
59,Mason,4,0,0,04-18-2020,22:15
60,Massac,3,0,0,04-18-2020,22:15
61,Menard,3,0,0,04-18-2020,22:15
62,Mercer,5,0,0,04-18-2020,22:15
63,Monroe,52,7,0,04-18-2020,22:15
64,Montgomery,13,1,0,04-18-2020,22:15
65,Morgan,12,1,0,04-18-2020,22:15
66,Moultrie,2,0,0,04-18-2020,22:15
67,Ogle,48,1,0,04-18-2020,22:15
68,Peoria,37,2,0,04-18-2020,22:15
69,Perry,1,0,0,04-18-2020,22:15
70,Piatt,7,0,0,04-18-2020,22:15
71,Pike,1,0,0,04-18-2020,22:15
72,Pulaski,9,0,0,04-18-2020,22:15
73,Randolph,54,1,0,04-18-2020,22:15
74,Richland,2,0,0,04-18-2020,22:15
75,Rock Island,187,4,0,04-18-2020,22:15
76,St. Clair,265,17,0,04-18-2020,22:15
77,Saline,3,0,0,04-18-2020,22:15
78,Sangamon,61,3,0,04-18-2020,22:15
79,Schuyler,1,0,0,04-18-2020,22:15
80,Shelby,4,0,0,04-18-2020,22:15
81,Stark,1,0,0,04-18-2020,22:15
82,Stephenson,12,0,0,04-18-2020,22:15
83,Tazewell,41,3,0,04-18-2020,22:15
84,Unassigned,84,3,0,04-18-2020,22:15
85,Union,5,0,0,04-18-2020,22:15
86,Vermilion,9,0,0,04-18-2020,22:15
87,Wabash,1,0,0,04-18-2020,22:15
88,Warren,4,0,0,04-18-2020,22:15
89,Washington,6,0,0,04-18-2020,22:15
90,Wayne,1,0,0,04-18-2020,22:15
91,Whiteside,36,3,0,04-18-2020,22:15
92,Will,1603,94,0,04-18-2020,22:15
93,Williamson,13,0,0,04-18-2020,22:15
94,Winnebago,172,4,0,04-18-2020,22:15
95,Woodford,11,0,0,04-18-2020,22:15
