County,Tested,Positive_Cases,Deaths
Illinois,1360784,136762,6647
Adams,6720,55,1
Alexander,398,20,0
Bond,597,12,1
Boone,4511,555,20
Brown,461,10,0
Bureau,1705,24,1
Calhoun,97,1,0
Carroll,494,19,2
Cass,1393,100,0
Champaign,23090,775,12
Chicago,355918,50541,2505
Christian,2114,42,4
Clark,687,13,0
Clay,574,2,0
Clinton,3384,224,17
Coles,4428,151,17
Cook,296660,36636,1899
Crawford,649,18,0
Cumberland,600,10,0
De Witt,821,4,0
DeKalb,7983,523,18
Douglas,1356,42,0
DuPage,85935,8682,448
Edgar,962,6,0
Edwards,207,2,0
Effingham,1724,12,1
Fayette,1219,23,3
Ford,1057,22,1
Franklin,2351,12,0
Fulton,1917,12,0
Gallatin,135,2,0
Greene,523,8,0
Grundy,2861,142,3
Hamilton,316,2,0
Hancock,958,18,1
Hardin,123,1,0
Henderson,303,8,0
Henry,2500,74,1
Iroquois,2303,143,5
Jackson,4662,323,18
Jasper,685,46,7
Jefferson,2217,104,16
Jersey,512,31,1
Jo Daviess,847,38,1
Johnson,564,20,0
Kane,52139,7399,251
Kankakee,13112,1145,61
Kendall,9566,912,20
Knox,2735,117,0
Lake,69932,9326,401
LaSalle,6441,190,16
Lawrence,754,5,0
Lee,1914,96,1
Livingston,2165,37,2
Logan,2769,13,0
Macon,6651,218,21
Macoupin,3724,47,3
Madison,12846,813,66
Marion,2524,60,0
Marshall,615,6,0
Mason,1183,19,0
Massac,836,7,0
McDonough,2013,101,15
McHenry,19677,1911,91
McLean,11662,251,13
Menard,1224,23,0
Mercer,805,20,0
Monroe,1234,113,12
Montgomery,2530,41,1
Morgan,2940,119,3
Moultrie,620,15,0
Ogle,3357,234,4
Out Of State,7799,10,0
Peoria,15929,428,25
Perry,1080,44,0
Piatt,1122,17,0
Pike,717,2,0
Pope,119,1,0
Pulaski,421,66,0
Putnam,190,1,0
Randolph,2763,278,7
Richland,657,4,0
Rock Island,11056,785,28
Saline,985,8,0
Sangamon,24043,387,31
Schuyler,489,13,0
Shelby,1474,16,1
St. Clair,15595,1604,125
Stark,257,3,0
Stephenson,3904,249,5
Tazewell,10019,111,7
Unassigned,35493,49,0
Union,1846,182,18
Vermilion,4415,49,2
Wabash,502,22,0
Warren,962,129,0
Washington,668,19,0
Wayne,872,11,1
White,434,3,0
Whiteside,3465,172,15
Will,64338,6367,310
Williamson,4565,93,4
Winnebago,28885,2861,82
Woodford,2125,32,2
