Zip,Positive Cases,Deaths
60002,26,N/A
60004,89,N/A
60005,30,N/A
60007,44,N/A
60008,23,N/A
60010,24,N/A
60012,14,N/A
60013,29,N/A
60014,27,N/A
60015,59,N/A
60016,152,N/A
60018,55,N/A
60020,8,N/A
60021,6,N/A
60022,15,N/A
60025,116,N/A
60026,47,N/A
60030,30,N/A
60031,57,N/A
60035,83,N/A
60042,7,N/A
60043,12,N/A
60044,28,N/A
60045,65,N/A
60046,40,N/A
60047,33,N/A
60048,40,N/A
60050,26,N/A
60051,16,N/A
60053,59,N/A
60056,77,N/A
60060,45,N/A
60061,33,N/A
60062,73,N/A
60064,66,N/A
60067,22,N/A
60068,82,N/A
60069,15,N/A
60070,16,N/A
60073,112,N/A
60074,45,N/A
60076,127,N/A
60077,110,N/A
60081,13,N/A
60083,18,N/A
60084,36,N/A
60085,286,N/A
60087,89,N/A
60088,17,N/A
60089,52,N/A
60090,66,N/A
60091,63,N/A
60093,75,N/A
60098,41,N/A
60099,92,N/A
60101,75,N/A
60102,28,N/A
60103,31,N/A
60104,127,N/A
60106,63,N/A
60107,53,N/A
60108,22,N/A
60110,16,N/A
60115,19,N/A
60118,10,N/A
60119,6,N/A
60120,49,N/A
60123,49,N/A
60124,11,N/A
60126,56,N/A
60130,44,N/A
60131,48,N/A
60133,53,N/A
60134,14,N/A
60136,11,N/A
60137,29,N/A
60139,51,N/A
60140,12,N/A
60142,16,N/A
60143,12,N/A
60148,67,N/A
60153,88,N/A
60154,60,N/A
60155,28,N/A
60156,18,N/A
60160,62,N/A
60162,28,N/A
60163,10,N/A
60164,44,N/A
60165,17,N/A
60169,25,N/A
60171,24,N/A
60172,25,N/A
60173,8,N/A
60174,17,N/A
60175,21,N/A
60176,17,N/A
60177,12,N/A
60178,9,N/A
60181,56,N/A
60185,43,N/A
60187,9,N/A
60188,65,N/A
60189,26,N/A
60191,11,N/A
60192,11,N/A
60193,42,N/A
60194,23,N/A
60201,92,N/A
60202,80,N/A
60203,14,N/A
60301,9,N/A
60302,66,N/A
60304,23,N/A
60305,11,N/A
60401,20,N/A
60402,165,N/A
60403,46,N/A
60404,29,N/A
60406,64,N/A
60409,144,N/A
60410,10,N/A
60411,199,N/A
60415,38,N/A
60417,47,N/A
60418,22,N/A
60419,104,N/A
60422,41,N/A
60423,54,N/A
60425,42,N/A
60426,91,N/A
60428,60,N/A
60429,80,N/A
60430,74,N/A
60431,52,N/A
60432,42,N/A
60433,55,N/A
60434,18,N/A
60435,154,N/A
60436,30,N/A
60438,86,N/A
60439,30,N/A
60440,106,N/A
60441,67,N/A
60442,15,N/A
60443,121,N/A
60445,32,N/A
60446,76,N/A
60447,6,N/A
60448,34,N/A
60449,23,N/A
60450,13,N/A
60451,33,N/A
60452,42,N/A
60453,117,N/A
60455,59,N/A
60456,7,N/A
60457,25,N/A
60458,17,N/A
60459,56,N/A
60461,26,N/A
60462,69,N/A
60463,34,N/A
60464,12,N/A
60465,34,N/A
60466,149,N/A
60467,47,N/A
60468,8,N/A
60469,10,N/A
60471,69,N/A
60472,27,N/A
60473,118,N/A
60475,34,N/A
60477,47,N/A
60478,86,N/A
60480,8,N/A
60482,15,N/A
60484,41,N/A
60487,36,N/A
60490,48,N/A
60491,46,N/A
60501,16,N/A
60502,21,N/A
60503,10,N/A
60504,34,N/A
60505,61,N/A
60506,82,N/A
60510,11,N/A
60513,35,N/A
60514,21,N/A
60515,20,N/A
60516,28,N/A
60517,43,N/A
60521,21,N/A
60523,25,N/A
60525,51,N/A
60526,16,N/A
60527,98,N/A
60532,23,N/A
60534,15,N/A
60538,15,N/A
60540,21,N/A
60542,13,N/A
60543,37,N/A
60544,36,N/A
60545,9,N/A
60546,36,N/A
60551,7,N/A
60554,7,N/A
60555,9,N/A
60558,12,N/A
60559,45,N/A
60560,16,N/A
60561,40,N/A
60563,36,N/A
60564,41,N/A
60565,48,N/A
60585,24,N/A
60586,74,N/A
60601,30,N/A
60605,52,N/A
60606,12,N/A
60607,87,N/A
60608,231,N/A
60609,162,N/A
