Zip,update_04-14-1250,update_04-13,update_04-12
60002,26,26,26
60004,88,88,89
60005,32,32,30
60007,45,45,44
60008,25,25,23
60010,24,24,24
60012,14,14,14
60013,29,29,29
60014,27,27,27
60015,61,61,59
60016,160,160,152
60018,61,61,55
60020,8,8,8
60021,6,6,6
60022,15,15,15
60025,123,123,116
60026,51,51,47
60030,30,30,30
60031,59,59,57
60035,83,83,83
60040,6,6,
60042,7,7,7
60043,13,13,12
60044,28,28,28
60045,67,67,65
60046,41,41,40
60047,34,34,33
60048,40,40,40
60050,26,26,26
60051,18,18,16
60053,63,63,59
60056,80,80,77
60060,52,52,45
60061,33,33,33
60062,75,75,73
60064,74,74,66
60067,23,23,22
60068,85,85,82
60069,16,16,15
60070,16,16,16
60073,113,113,112
60074,47,47,45
60076,136,136,127
60077,116,116,110
60081,13,13,13
60083,18,18,18
60084,38,38,36
60085,310,310,286
60087,94,94,89
60088,17,17,17
60089,53,53,52
60090,71,71,66
60091,63,63,63
60093,75,75,75
60098,45,45,41
60099,95,95,92
60101,84,84,75
60102,29,29,28
60103,32,32,31
60104,133,133,127
60106,70,70,63
60107,56,56,53
60108,26,26,22
60110,18,18,16
60115,19,19,19
60118,10,10,10
60119,8,8,6
60120,51,51,49
60123,50,50,49
60124,13,13,11
60126,59,59,56
60130,44,44,44
60131,48,48,48
60133,56,56,53
60134,14,14,14
60136,11,11,11
60137,31,31,29
60139,51,51,51
60140,12,12,12
60142,17,17,16
60143,12,12,12
60148,70,70,67
60153,96,96,88
60154,64,64,60
60155,28,28,28
60156,19,19,18
60160,66,66,62
60162,30,30,28
60163,10,10,10
60164,48,48,44
60165,19,19,17
60169,28,28,25
60171,26,26,24
60172,25,25,25
60173,8,8,8
60174,17,17,17
60175,22,22,21
60176,18,18,17
60177,12,12,12
60178,9,9,9
60181,60,60,56
60185,43,43,43
60187,9,9,9
60188,72,72,65
60189,26,26,26
60191,12,12,11
60192,11,11,11
60193,44,44,42
60194,24,24,23
60201,94,94,92
60202,80,80,80
60203,14,14,14
60301,10,10,9
60302,67,67,66
60304,23,23,23
60305,11,11,11
60401,20,20,20
60402,176,176,165
60403,48,48,46
60404,31,31,29
60406,65,65,64
60409,151,151,144
60410,10,10,10
60411,213,213,199
60415,40,40,38
60417,47,47,47
60418,22,22,22
60419,107,107,104
60422,43,43,41
60423,55,55,54
60425,43,43,42
60426,99,99,91
60428,62,62,60
60429,81,81,80
60430,75,75,74
60431,58,58,52
60432,43,43,42
60433,56,56,55
60434,18,18,18
60435,162,162,154
60436,34,34,30
60438,91,91,86
60439,32,32,30
60440,111,111,106
60441,69,69,67
60442,16,16,15
60443,124,124,121
60445,33,33,32
60446,82,82,76
60447,6,6,6
60448,34,34,34
60449,23,23,23
60450,13,13,13
60451,36,36,33
60452,45,45,42
60453,129,129,117
60455,62,62,59
60456,8,8,7
60457,27,27,25
60458,17,17,17
60459,59,59,56
60461,27,27,26
60462,72,72,69
60463,37,37,34
60464,11,11,12
60465,35,35,34
60466,156,156,149
60467,48,48,47
60468,8,8,8
60469,11,11,10
60471,71,71,69
60472,27,27,27
60473,122,122,118
60475,34,34,34
60477,51,51,47
60478,90,90,86
60480,8,8,8
60482,16,16,15
60484,41,41,41
60487,38,38,36
60490,51,51,48
60491,47,47,46
60501,18,18,16
60502,20,20,21
60503,10,10,10
60504,36,36,34
60505,65,65,61
60506,84,84,82
60510,12,12,11
60513,36,36,35
60514,21,21,21
60515,22,22,20
60516,28,28,28
60517,43,43,43
60521,22,22,21
