Zip,cases_04-14-1614,cases_04-14-1250,cases_04-13,cases_04-12
60002,27,26,26,26
60004,50,88,88,89
60005,33,32,32,30
60007,45,45,45,44
60008,27,25,25,23
60010,28,24,24,24
60012,15,14,14,14
60013,30,29,29,29
60014,29,27,27,27
60015,64,61,61,59
60016,171,160,160,152
60018,67,61,61,55
60020,8,8,8,8
60021,6,6,6,6
60022,15,15,15,15
60025,127,123,123,116
60026,52,51,51,47
60030,32,30,30,30
60031,65,59,59,57
60035,89,83,83,83
60040,8,6,6,
60042,7,7,7,7
60043,13,13,13,12
60044,29,28,28,28
60045,70,67,67,65
60046,44,41,41,40
60047,36,34,34,33
60048,41,40,40,40
60050,28,26,26,26
60051,18,18,18,16
60053,67,63,63,59
60056,88,80,80,77
60060,54,52,52,45
60061,36,33,33,33
60062,75,75,75,73
60064,81,74,74,66
60067,24,23,23,22
60068,89,85,85,82
60069,16,16,16,15
60070,19,16,16,16
60073,119,113,113,112
60074,49,47,47,45
60076,144,136,136,127
60077,119,116,116,110
60081,13,13,13,13
60083,18,18,18,18
60084,43,38,38,36
60085,344,310,310,286
60087,101,94,94,89
60088,21,17,17,17
60089,55,53,53,52
60090,74,71,71,66
60091,64,63,63,63
60093,76,75,75,75
60096,6,,,
60097,6,,,
60098,50,45,45,41
60099,104,95,95,92
60101,91,84,84,75
60102,29,29,29,28
60103,33,32,32,31
60104,137,133,133,127
60106,75,70,70,63
60107,58,56,56,53
60108,29,26,26,22
60110,24,18,18,16
60115,19,19,19,19
60118,10,10,10,10
60119,8,8,8,6
60120,53,51,51,49
60123,55,50,50,49
60124,13,13,13,11
60126,65,59,59,56
60130,45,44,44,44
60131,55,48,48,48
60133,61,56,56,53
60134,14,14,14,14
60136,11,11,11,11
60137,31,31,31,29
60139,53,51,51,51
60140,12,12,12,12
60142,17,17,17,16
60143,12,12,12,12
60148,77,70,70,67
60153,99,96,96,88
60154,64,64,64,60
60155,29,28,28,28
60156,19,19,19,18
60160,74,66,66,62
60162,35,30,30,28
60163,10,10,10,10
60164,54,48,48,44
60165,23,19,19,17
60169,29,28,28,25
60171,27,26,26,24
60172,25,25,25,25
60173,9,8,8,8
60174,18,17,17,17
60175,23,22,22,21
60176,18,18,18,17
60177,12,12,12,12
60178,9,9,9,9
60181,63,60,60,56
60185,47,43,43,43
60187,9,9,9,9
60188,82,72,72,65
60189,27,26,26,26
60190,7,,,
60191,16,12,12,11
60192,12,11,11,11
60193,46,44,44,42
60194,24,24,24,23
60201,97,94,94,92
60202,87,80,80,80
60203,14,14,14,14
60301,10,10,10,9
60302,71,67,67,66
60304,26,23,23,23
60305,14,11,11,11
60401,19,20,20,20
60402,183,176,176,165
60403,50,48,48,46
60404,33,31,31,29
60406,67,65,65,64
60409,155,151,151,144
60410,10,10,10,10
60411,221,213,213,199
60415,45,40,40,38
60417,48,47,47,47
60418,26,22,22,22
60419,109,107,107,104
60422,43,43,43,41
60423,55,55,55,54
60425,43,43,43,42
60426,103,99,99,91
60428,65,62,62,60
60429,81,81,81,80
60430,82,75,75,74
60431,64,58,58,52
60432,44,43,43,42
60433,58,56,56,55
60434,18,18,18,18
60435,172,162,162,154
60436,36,34,34,30
60438,96,91,91,86
60439,32,32,32,30
60440,124,111,111,106
60441,72,69,69,67
60442,16,16,16,15
60443,129,124,124,121
60445,34,33,33,32
60446,86,82,82,76
60447,7,6,6,6
60448,35,34,34,34
60449,25,23,23,23
60450,14,13,13,13
60451,36,36,36,33
60452,49,45,45,42
60453,139,129,129,117
60455,63,62,62,59
60456,9,8,8,7
60457,28,27,27,25
60458,17,17,17,17
60459,63,59,59,56
60461,27,27,27,26
60462,73,72,72,69
60463,39,37,37,34
60464,11,11,11,12
60465,37,35,35,34
60466,163,156,156,149
60467,49,48,48,47
60468,9,8,8,8
60469,12,11,11,10
60471,72,71,71,69
60472,32,27,27,27
60473,127,122,122,118
60475,35,34,34,34
60477,55,51,51,47
60478,92,90,90,86
60480,11,8,8,8
60481,7,,,
60482,16,16,16,15
60484,44,41,41,41
60487,39,38,38,36
60490,51,51,51,48
60491,49,47,47,46
60501,22,18,18,16
60502,21,20,20,21
60503,11,10,10,10
60504,36,36,36,34
60505,67,65,65,61
60506,88,84,84,82
60510,12,12,12,11
60513,41,36,36,35
60514,21,21,21,21
60515,22,22,22,20
60516,28,28,28,28
60517,47,43,43,43
60521,23,22,22,21
60523,26,26,26,25
60525,60,57,57,51
60526,18,16,16,16
60527,107,102,102,98
60532,27,27,27,23
60534,17,17,17,15
60538,17,17,17,15
60540,24,21,21,21
60542,14,14,14,13
60543,38,38,38,37
60544,42,40,40,36
60545,9,9,9,9
60546,39,36,36,36
60551,8,8,8,7
60554,8,7,7,7
60555,10,9,9,9
60558,11,11,11,12
60559,51,47,47,45
60560,17,17,17,16
60561,42,41,41,40
60563,35,35,35,36
60564,44,42,42,41
60565,53,51,51,48
60585,29,28,28,24
60586,80,78,78,74
60601,33,33,33,30
60605,58,54,54,52
60606,15,13,13,12
60607,134,91,91,87
60608,276,262,262,231
60609,186,177,177,162
60610,97,94,94,91
60611,65,63,63,64
60612,230,227,227,209
60613,140,136,136,133
60614,167,157,157,151
60615,144,137,137,131
60616,150,142,142,134
60617,301,285,285,269
60618,218,198,198,186
60619,335,318,318,306
60620,396,376,376,359
60621,152,139,139,133
60622,168,163,163,155
60623,315,297,297,268
60624,228,223,223,208
60625,225,203,203,182
60626,173,160,160,141
60628,315,298,298,288
60629,320,284,284,255
60630,132,126,126,117
60631,83,80,80,76
60632,214,193,193,179
60633,33,33,33,31
60634,251,239,239,224
60636,182,176,176,164
60637,185,172,172,169
60638,167,158,158,147
60639,306,276,276,252
60640,172,159,159,149
60641,189,171,171,145
60642,36,35,35,35
60643,276,265,265,246
60644,287,277,277,258
60645,360,339,339,326
60646,65,62,62,59
60647,157,149,149,135
60649,222,210,210,198
60651,277,261,261,242
60652,168,161,161,154
60653,167,159,159,152
60654,46,45,45,44
60655,109,105,105,102
60656,76,69,69,60
60657,148,145,145,141
60659,197,185,185,175
60660,110,108,108,97
60661,18,18,18,18
60706,60,57,57,52
60707,127,118,118,109
60712,64,60,60,55
60714,102,93,93,85
60803,45,42,42,39
60804,255,228,228,210
60805,59,59,59,56
60827,113,105,105,103
60901,130,124,124,121
60914,41,39,39,37
60915,7,7,7,7
60950,16,14,14,14
60954,8,8,8,8
60964,9,9,9,9
61008,7,7,7,7
61021,9,9,9,8
61032,7,6,6,6
61068,14,14,14,6
61081,15,13,13,13
61101,8,8,8,7
61102,11,11,11,10
61103,11,10,10,8
61104,6,6,6,6
61107,7,7,7,7
61108,14,13,13,13
61109,12,12,12,11
61114,7,7,7,7
61201,22,21,21,19
61241,8,8,8,8
