,Zip,Positive_Cases,update_date,update_time
0,60002,32,04-17-2020,20:59
1,60004,58,04-17-2020,20:59
2,60005,35,04-17-2020,20:59
3,60007,56,04-17-2020,20:59
4,60008,31,04-17-2020,20:59
5,60010,29,04-17-2020,20:59
6,60012,18,04-17-2020,20:59
7,60013,32,04-17-2020,20:59
8,60014,34,04-17-2020,20:59
9,60015,70,04-17-2020,20:59
10,60016,306,04-17-2020,20:59
11,60018,92,04-17-2020,20:59
12,60020,10,04-17-2020,20:59
13,60021,7,04-17-2020,20:59
14,60022,15,04-17-2020,20:59
15,60025,135,04-17-2020,20:59
16,60026,58,04-17-2020,20:59
17,60030,38,04-17-2020,20:59
18,60031,74,04-17-2020,20:59
19,60033,9,04-17-2020,20:59
20,60035,99,04-17-2020,20:59
21,60040,13,04-17-2020,20:59
22,60041,8,04-17-2020,20:59
23,60042,7,04-17-2020,20:59
24,60043,13,04-17-2020,20:59
25,60044,35,04-17-2020,20:59
26,60045,75,04-17-2020,20:59
27,60046,46,04-17-2020,20:59
28,60047,43,04-17-2020,20:59
29,60048,42,04-17-2020,20:59
30,60050,36,04-17-2020,20:59
31,60051,20,04-17-2020,20:59
32,60053,80,04-17-2020,20:59
33,60056,108,04-17-2020,20:59
34,60060,67,04-17-2020,20:59
35,60061,40,04-17-2020,20:59
36,60062,85,04-17-2020,20:59
37,60064,126,04-17-2020,20:59
38,60067,30,04-17-2020,20:59
39,60068,100,04-17-2020,20:59
40,60069,16,04-17-2020,20:59
41,60070,32,04-17-2020,20:59
42,60073,128,04-17-2020,20:59
43,60074,64,04-17-2020,20:59
44,60076,169,04-17-2020,20:59
45,60077,133,04-17-2020,20:59
46,60081,13,04-17-2020,20:59
47,60083,24,04-17-2020,20:59
48,60084,51,04-17-2020,20:59
49,60085,449,04-17-2020,20:59
50,60087,125,04-17-2020,20:59
51,60088,16,04-17-2020,20:59
52,60089,63,04-17-2020,20:59
53,60090,94,04-17-2020,20:59
54,60091,71,04-17-2020,20:59
55,60093,85,04-17-2020,20:59
56,60096,8,04-17-2020,20:59
57,60097,8,04-17-2020,20:59
58,60098,63,04-17-2020,20:59
59,60099,138,04-17-2020,20:59
60,60101,107,04-17-2020,20:59
61,60102,31,04-17-2020,20:59
62,60103,38,04-17-2020,20:59
63,60104,152,04-17-2020,20:59
64,60106,98,04-17-2020,20:59
65,60107,76,04-17-2020,20:59
66,60108,33,04-17-2020,20:59
67,60110,34,04-17-2020,20:59
68,60115,24,04-17-2020,20:59
69,60118,15,04-17-2020,20:59
70,60119,8,04-17-2020,20:59
71,60120,66,04-17-2020,20:59
72,60123,67,04-17-2020,20:59
73,60124,14,04-17-2020,20:59
74,60126,76,04-17-2020,20:59
75,60130,47,04-17-2020,20:59
76,60131,67,04-17-2020,20:59
77,60133,78,04-17-2020,20:59
78,60134,16,04-17-2020,20:59
79,60136,12,04-17-2020,20:59
80,60137,35,04-17-2020,20:59
81,60139,74,04-17-2020,20:59
82,60140,16,04-17-2020,20:59
83,60142,18,04-17-2020,20:59
84,60143,14,04-17-2020,20:59
85,60148,83,04-17-2020,20:59
86,60153,116,04-17-2020,20:59
87,60154,67,04-17-2020,20:59
88,60155,32,04-17-2020,20:59
89,60156,22,04-17-2020,20:59
90,60160,96,04-17-2020,20:59
91,60162,45,04-17-2020,20:59
92,60163,15,04-17-2020,20:59
93,60164,69,04-17-2020,20:59
94,60165,27,04-17-2020,20:59
95,60169,38,04-17-2020,20:59
96,60171,29,04-17-2020,20:59
97,60172,31,04-17-2020,20:59
98,60173,10,04-17-2020,20:59
99,60174,21,04-17-2020,20:59
100,60175,23,04-17-2020,20:59
101,60176,23,04-17-2020,20:59
102,60177,20,04-17-2020,20:59
103,60178,10,04-17-2020,20:59
104,60181,69,04-17-2020,20:59
