Zip,Positive_Cases,Tested
53142,6,97
60002,32,682
60004,62,1858
60005,38,593
60007,57,715
60008,34,423
60010,30,553
60012,19,163
60013,32,341
60014,38,635
60015,74,1048
60016,321,2591
60018,96,984
60020,10,214
60021,7,85
60022,15,299
60025,145,1859
60026,59,634
60030,43,817
60031,78,1175
60033,13,265
60035,104,1358
60040,15,183
60041,9,171
60042,7,120
60043,13,148
60044,38,434
60045,78,799
60046,50,814
60047,46,581
60048,46,652
60050,46,543
60051,20,418
60053,85,1154
60056,120,1475
60060,70,798
60061,44,620
60062,88,1453
60064,149,861
60067,30,601
60068,101,1127
60069,16,317
60070,34,365
60073,138,1371
60074,67,692
60076,175,2091
60077,137,1746
60081,14,175
60083,26,288
60084,52,325
60085,510,2888
60087,139,987
60088,17,123
60089,67,935
60090,102,1221
60091,74,1217
60093,89,966
60096,8,168
60097,8,187
60098,70,721
60099,152,1058
60101,112,1012
60102,30,427
60103,41,620
60104,158,1085
60106,107,747
60107,80,755
60108,36,566
60110,38,403
60115,22,482
60118,16,178
60119,8,164
60120,71,596
60123,71,736
60124,16,252
60126,80,1149
60130,49,615
60131,68,693
60133,81,701
60134,17,372
60136,12,132
60137,35,604
60139,77,764
60140,17,272
60142,21,364
60143,15,190
60148,89,1059
60153,119,1106
60154,68,780
60155,37,365
60156,26,367
60160,105,959
60162,48,415
60163,19,199
60164,72,840
60165,32,171
60169,44,635
60171,33,449
60172,31,395
60173,10,186
60174,23,532
60175,23,424
60176,24,314
60177,22,302
60178,11,271
60181,71,723
60185,67,671
60187,20,475
60188,112,990
60189,32,503
60190,9,184
60191,21,330
60192,15,264
60193,52,656
60194,25,372
60201,109,2090
60202,113,1868
60203,14,234
60301,11,135
60302,81,1318
60304,31,593
60305,17,330
60401,22,269
60402,245,2520
60403,57,867
60404,35,637
60406,81,845
60409,188,1622
60410,11,316
60411,253,2455
60415,65,535
60417,59,545
60418,31,275
60419,132,1041
60422,45,436
60423,61,815
60425,46,442
60426,137,1114
60428,78,642
60429,95,907
60430,97,894
60431,73,1082
60432,48,655
60433,67,676
60434,21,114
60435,207,2302
60436,46,806
60438,111,970
60439,37,530
60440,163,2051
60441,76,1045
60442,16,274
60443,150,1323
60445,45,454
60446,106,1331
60447,10,377
60448,43,514
60449,32,404
60450,14,268
60451,41,726
60452,58,647
60453,170,1581
60455,69,527
60456,15,122
60457,34,318
60458,23,343
60459,83,753
60461,30,286
60462,83,944
60463,43,409
60464,14,204
60465,46,474
60466,221,1501
60467,55,641
60468,9,86
60469,17,151
60471,86,826
60472,35,266
60473,162,1242
60475,37,334
60477,67,894
60478,111,1051
60480,11,155
60481,9,230
60482,21,318
60484,48,392
60487,45,595
60490,60,833
60491,64,602
60501,34,305
60502,25,339
60503,12,229
60504,49,619
60505,95,821
60506,105,1004
60510,17,396
60513,48,586
60514,25,253
60515,26,432
60516,32,544
60517,58,767
60521,28,592
60523,31,384
60525,74,1049
60526,25,426
60527,128,1101
60532,33,498
60534,24,269
60538,26,427
60540,30,691
60542,16,352
60543,44,617
60544,50,884
60545,9,167
60546,48,580
60551,9,55
60554,9,162
60555,20,236
60558,14,271
60559,72,667
60560,19,340
60561,48,621
60563,39,738
60564,49,806
60565,67,742
60585,33,488
60586,91,1431
60601,35,490
60605,72,1095
60606,17,261
60607,143,1390
60608,355,3140
60609,275,2159
60610,107,1308
60611,75,1274
60612,275,2877
60613,158,1644
60614,190,2234
60615,169,1933
60616,185,1895
60617,337,3367
60618,273,2919
60619,380,3122
60620,450,3249
60621,187,1411
60622,196,2097
60623,445,2952
60624,284,2243
60625,293,2623
60626,244,2277
60628,369,3160
60629,463,3259
60630,162,2470
60631,94,2026
60632,355,2708
60633,44,446
60634,326,4799
60636,214,1398
60637,212,2174
60638,210,2583
60639,463,3445
60640,239,2292
60641,243,2606
60642,38,700
60643,316,2653
60644,337,2493
60645,428,3312
60646,76,1532
60647,208,2754
