,Zip,Positive_Cases,Tested,update_date,update_time
0,53142,6,97,04-18-2020,20:15
1,60002,32,682,04-18-2020,20:15
2,60004,62,1858,04-18-2020,20:15
3,60005,38,593,04-18-2020,20:15
4,60007,57,715,04-18-2020,20:15
5,60008,34,423,04-18-2020,20:15
6,60010,30,553,04-18-2020,20:15
7,60012,19,163,04-18-2020,20:15
8,60013,32,341,04-18-2020,20:15
9,60014,38,635,04-18-2020,20:15
10,60015,74,1048,04-18-2020,20:15
11,60016,321,2591,04-18-2020,20:15
12,60018,96,984,04-18-2020,20:15
13,60020,10,214,04-18-2020,20:15
14,60021,7,85,04-18-2020,20:15
15,60022,15,299,04-18-2020,20:15
16,60025,145,1859,04-18-2020,20:15
17,60026,59,634,04-18-2020,20:15
18,60030,43,817,04-18-2020,20:15
19,60031,78,1175,04-18-2020,20:15
20,60033,13,265,04-18-2020,20:15
21,60035,104,1358,04-18-2020,20:15
22,60040,15,183,04-18-2020,20:15
23,60041,9,171,04-18-2020,20:15
24,60042,7,120,04-18-2020,20:15
25,60043,13,148,04-18-2020,20:15
26,60044,38,434,04-18-2020,20:15
27,60045,78,799,04-18-2020,20:15
28,60046,50,814,04-18-2020,20:15
29,60047,46,581,04-18-2020,20:15
30,60048,46,652,04-18-2020,20:15
31,60050,46,543,04-18-2020,20:15
32,60051,20,418,04-18-2020,20:15
33,60053,85,1154,04-18-2020,20:15
34,60056,120,1475,04-18-2020,20:15
35,60060,70,798,04-18-2020,20:15
36,60061,44,620,04-18-2020,20:15
37,60062,88,1453,04-18-2020,20:15
38,60064,149,861,04-18-2020,20:15
39,60067,30,601,04-18-2020,20:15
40,60068,101,1127,04-18-2020,20:15
41,60069,16,317,04-18-2020,20:15
42,60070,34,365,04-18-2020,20:15
43,60073,138,1371,04-18-2020,20:15
44,60074,67,692,04-18-2020,20:15
45,60076,175,2091,04-18-2020,20:15
46,60077,137,1746,04-18-2020,20:15
47,60081,14,175,04-18-2020,20:15
48,60083,26,288,04-18-2020,20:15
49,60084,52,325,04-18-2020,20:15
50,60085,510,2888,04-18-2020,20:15
51,60087,139,987,04-18-2020,20:15
52,60088,17,123,04-18-2020,20:15
53,60089,67,935,04-18-2020,20:15
54,60090,102,1221,04-18-2020,20:15
55,60091,74,1217,04-18-2020,20:15
56,60093,89,966,04-18-2020,20:15
57,60096,8,168,04-18-2020,20:15
58,60097,8,187,04-18-2020,20:15
59,60098,70,721,04-18-2020,20:15
60,60099,152,1058,04-18-2020,20:15
61,60101,112,1012,04-18-2020,20:15
62,60102,30,427,04-18-2020,20:15
63,60103,41,620,04-18-2020,20:15
64,60104,158,1085,04-18-2020,20:15
65,60106,107,747,04-18-2020,20:15
66,60107,80,755,04-18-2020,20:15
67,60108,36,566,04-18-2020,20:15
68,60110,38,403,04-18-2020,20:15
69,60115,22,482,04-18-2020,20:15
70,60118,16,178,04-18-2020,20:15
71,60119,8,164,04-18-2020,20:15
72,60120,71,596,04-18-2020,20:15
73,60123,71,736,04-18-2020,20:15
74,60124,16,252,04-18-2020,20:15
75,60126,80,1149,04-18-2020,20:15
76,60130,49,615,04-18-2020,20:15
77,60131,68,693,04-18-2020,20:15
78,60133,81,701,04-18-2020,20:15
79,60134,17,372,04-18-2020,20:15
80,60136,12,132,04-18-2020,20:15
81,60137,35,604,04-18-2020,20:15
82,60139,77,764,04-18-2020,20:15
83,60140,17,272,04-18-2020,20:15
84,60142,21,364,04-18-2020,20:15
85,60143,15,190,04-18-2020,20:15
86,60148,89,1059,04-18-2020,20:15
87,60153,119,1106,04-18-2020,20:15
88,60154,68,780,04-18-2020,20:15
89,60155,37,365,04-18-2020,20:15
90,60156,26,367,04-18-2020,20:15
91,60160,105,959,04-18-2020,20:15
92,60162,48,415,04-18-2020,20:15
93,60163,19,199,04-18-2020,20:15
94,60164,72,840,04-18-2020,20:15
95,60165,32,171,04-18-2020,20:15
96,60169,44,635,04-18-2020,20:15
97,60171,33,449,04-18-2020,20:15
98,60172,31,395,04-18-2020,20:15
99,60173,10,186,04-18-2020,20:15
100,60174,23,532,04-18-2020,20:15
101,60175,23,424,04-18-2020,20:15
102,60176,24,314,04-18-2020,20:15
103,60177,22,302,04-18-2020,20:15
104,60178,11,271,04-18-2020,20:15
105,60181,71,723,04-18-2020,20:15
106,60185,67,671,04-18-2020,20:15
107,60187,20,475,04-18-2020,20:15
108,60188,112,990,04-18-2020,20:15
109,60189,32,503,04-18-2020,20:15
110,60190,9,184,04-18-2020,20:15
111,60191,21,330,04-18-2020,20:15
112,60192,15,264,04-18-2020,20:15
113,60193,52,656,04-18-2020,20:15
114,60194,25,372,04-18-2020,20:15
115,60201,109,2090,04-18-2020,20:15
116,60202,113,1868,04-18-2020,20:15
117,60203,14,234,04-18-2020,20:15
118,60301,11,135,04-18-2020,20:15
119,60302,81,1318,04-18-2020,20:15
120,60304,31,593,04-18-2020,20:15
121,60305,17,330,04-18-2020,20:15
122,60401,22,269,04-18-2020,20:15
123,60402,245,2520,04-18-2020,20:15
124,60403,57,867,04-18-2020,20:15
125,60404,35,637,04-18-2020,20:15
126,60406,81,845,04-18-2020,20:15
127,60409,188,1622,04-18-2020,20:15
128,60410,11,316,04-18-2020,20:15
129,60411,253,2455,04-18-2020,20:15
130,60415,65,535,04-18-2020,20:15
131,60417,59,545,04-18-2020,20:15
132,60418,31,275,04-18-2020,20:15
133,60419,132,1041,04-18-2020,20:15
134,60422,45,436,04-18-2020,20:15
135,60423,61,815,04-18-2020,20:15
136,60425,46,442,04-18-2020,20:15
137,60426,137,1114,04-18-2020,20:15
138,60428,78,642,04-18-2020,20:15
139,60429,95,907,04-18-2020,20:15
140,60430,97,894,04-18-2020,20:15
141,60431,73,1082,04-18-2020,20:15
142,60432,48,655,04-18-2020,20:15
143,60433,67,676,04-18-2020,20:15
144,60434,21,114,04-18-2020,20:15
145,60435,207,2302,04-18-2020,20:15
146,60436,46,806,04-18-2020,20:15
147,60438,111,970,04-18-2020,20:15
148,60439,37,530,04-18-2020,20:15
149,60440,163,2051,04-18-2020,20:15
150,60441,76,1045,04-18-2020,20:15
151,60442,16,274,04-18-2020,20:15
152,60443,150,1323,04-18-2020,20:15
153,60445,45,454,04-18-2020,20:15
154,60446,106,1331,04-18-2020,20:15
155,60447,10,377,04-18-2020,20:15
156,60448,43,514,04-18-2020,20:15
157,60449,32,404,04-18-2020,20:15
158,60450,14,268,04-18-2020,20:15
159,60451,41,726,04-18-2020,20:15
160,60452,58,647,04-18-2020,20:15
161,60453,170,1581,04-18-2020,20:15
162,60455,69,527,04-18-2020,20:15
163,60456,15,122,04-18-2020,20:15
164,60457,34,318,04-18-2020,20:15
165,60458,23,343,04-18-2020,20:15
166,60459,83,753,04-18-2020,20:15
167,60461,30,286,04-18-2020,20:15
168,60462,83,944,04-18-2020,20:15
169,60463,43,409,04-18-2020,20:15
170,60464,14,204,04-18-2020,20:15
171,60465,46,474,04-18-2020,20:15
172,60466,221,1501,04-18-2020,20:15
173,60467,55,641,04-18-2020,20:15
174,60468,9,86,04-18-2020,20:15
175,60469,17,151,04-18-2020,20:15
176,60471,86,826,04-18-2020,20:15
177,60472,35,266,04-18-2020,20:15
178,60473,162,1242,04-18-2020,20:15
179,60475,37,334,04-18-2020,20:15
180,60477,67,894,04-18-2020,20:15
181,60478,111,1051,04-18-2020,20:15
182,60480,11,155,04-18-2020,20:15
183,60481,9,230,04-18-2020,20:15
184,60482,21,318,04-18-2020,20:15
185,60484,48,392,04-18-2020,20:15
186,60487,45,595,04-18-2020,20:15
187,60490,60,833,04-18-2020,20:15
188,60491,64,602,04-18-2020,20:15
189,60501,34,305,04-18-2020,20:15
190,60502,25,339,04-18-2020,20:15
191,60503,12,229,04-18-2020,20:15
192,60504,49,619,04-18-2020,20:15
193,60505,95,821,04-18-2020,20:15
194,60506,105,1004,04-18-2020,20:15
195,60510,17,396,04-18-2020,20:15
196,60513,48,586,04-18-2020,20:15
197,60514,25,253,04-18-2020,20:15
198,60515,26,432,04-18-2020,20:15
199,60516,32,544,04-18-2020,20:15
200,60517,58,767,04-18-2020,20:15
201,60521,28,592,04-18-2020,20:15
202,60523,31,384,04-18-2020,20:15
203,60525,74,1049,04-18-2020,20:15
204,60526,25,426,04-18-2020,20:15
205,60527,128,1101,04-18-2020,20:15
206,60532,33,498,04-18-2020,20:15
207,60534,24,269,04-18-2020,20:15
208,60538,26,427,04-18-2020,20:15
209,60540,30,691,04-18-2020,20:15
210,60542,16,352,04-18-2020,20:15
211,60543,44,617,04-18-2020,20:15
212,60544,50,884,04-18-2020,20:15
213,60545,9,167,04-18-2020,20:15
214,60546,48,580,04-18-2020,20:15
215,60551,9,55,04-18-2020,20:15
216,60554,9,162,04-18-2020,20:15
217,60555,20,236,04-18-2020,20:15
218,60558,14,271,04-18-2020,20:15
219,60559,72,667,04-18-2020,20:15
220,60560,19,340,04-18-2020,20:15
221,60561,48,621,04-18-2020,20:15
222,60563,39,738,04-18-2020,20:15
223,60564,49,806,04-18-2020,20:15
224,60565,67,742,04-18-2020,20:15
225,60585,33,488,04-18-2020,20:15
226,60586,91,1431,04-18-2020,20:15
227,60601,35,490,04-18-2020,20:15
228,60605,72,1095,04-18-2020,20:15
229,60606,17,261,04-18-2020,20:15
230,60607,143,1390,04-18-2020,20:15
231,60608,355,3140,04-18-2020,20:15
232,60609,275,2159,04-18-2020,20:15
233,60610,107,1308,04-18-2020,20:15
234,60611,75,1274,04-18-2020,20:15
235,60612,275,2877,04-18-2020,20:15
236,60613,158,1644,04-18-2020,20:15
237,60614,190,2234,04-18-2020,20:15
238,60615,169,1933,04-18-2020,20:15
239,60616,185,1895,04-18-2020,20:15
240,60617,337,3367,04-18-2020,20:15
241,60618,273,2919,04-18-2020,20:15
242,60619,380,3122,04-18-2020,20:15
243,60620,450,3249,04-18-2020,20:15
244,60621,187,1411,04-18-2020,20:15
245,60622,196,2097,04-18-2020,20:15
246,60623,445,2952,04-18-2020,20:15
247,60624,284,2243,04-18-2020,20:15
248,60625,293,2623,04-18-2020,20:15
249,60626,244,2277,04-18-2020,20:15
250,60628,369,3160,04-18-2020,20:15
251,60629,463,3259,04-18-2020,20:15
252,60630,162,2470,04-18-2020,20:15
253,60631,94,2026,04-18-2020,20:15
254,60632,355,2708,04-18-2020,20:15
255,60633,44,446,04-18-2020,20:15
256,60634,326,4799,04-18-2020,20:15
257,60636,214,1398,04-18-2020,20:15
258,60637,212,2174,04-18-2020,20:15
259,60638,210,2583,04-18-2020,20:15
260,60639,463,3445,04-18-2020,20:15
261,60640,239,2292,04-18-2020,20:15
262,60641,243,2606,04-18-2020,20:15
263,60642,38,700,04-18-2020,20:15
264,60643,316,2653,04-18-2020,20:15
265,60644,337,2493,04-18-2020,20:15
266,60645,428,3312,04-18-2020,20:15
267,60646,76,1532,04-18-2020,20:15
268,60647,208,2754,04-18-2020,20:15
269,60649,255,2402,04-18-2020,20:15
270,60651,340,2660,04-18-2020,20:15
271,60652,211,1690,04-18-2020,20:15
272,60653,194,1821,04-18-2020,20:15
273,60654,77,696,04-18-2020,20:15
274,60655,123,1776,04-18-2020,20:15
275,60656,89,1764,04-18-2020,20:15
276,60657,159,2333,04-18-2020,20:15
277,60659,240,1884,04-18-2020,20:15
278,60660,138,1382,04-18-2020,20:15
279,60661,20,284,04-18-2020,20:15
280,60706,84,1261,04-18-2020,20:15
281,60707,169,2224,04-18-2020,20:15
282,60712,75,798,04-18-2020,20:15
283,60714,140,1252,04-18-2020,20:15
284,60803,60,632,04-18-2020,20:15
285,60804,345,2502,04-18-2020,20:15
286,60805,69,631,04-18-2020,20:15
287,60827,125,1033,04-18-2020,20:15
288,60901,164,1570,04-18-2020,20:15
289,60914,47,720,04-18-2020,20:15
290,60915,13,309,04-18-2020,20:15
291,60950,16,360,04-18-2020,20:15
292,60954,9,149,04-18-2020,20:15
293,60958,6,60,04-18-2020,20:15
294,60964,9,135,04-18-2020,20:15
295,61008,21,348,04-18-2020,20:15
296,61016,8,151,04-18-2020,20:15
297,61021,11,813,04-18-2020,20:15
298,61032,9,300,04-18-2020,20:15
299,61065,7,137,04-18-2020,20:15
300,61068,33,520,04-18-2020,20:15
301,61071,8,136,04-18-2020,20:15
302,61081,19,190,04-18-2020,20:15
303,61101,13,362,04-18-2020,20:15
304,61102,21,246,04-18-2020,20:15
305,61103,17,448,04-18-2020,20:15
306,61104,12,252,04-18-2020,20:15
307,61107,10,425,04-18-2020,20:15
308,61108,29,423,04-18-2020,20:15
309,61109,23,361,04-18-2020,20:15
310,61111,6,247,04-18-2020,20:15
311,61114,14,206,04-18-2020,20:15
312,61201,41,405,04-18-2020,20:15
313,61235,6,40,04-18-2020,20:15
314,61241,10,160,04-18-2020,20:15
315,61244,62,449,04-18-2020,20:15
316,61264,8,116,04-18-2020,20:15
317,61265,53,623,04-18-2020,20:15
318,61282,14,173,04-18-2020,20:15
319,61604,9,195,04-18-2020,20:15
320,61611,9,221,04-18-2020,20:15
321,61614,10,207,04-18-2020,20:15
322,61615,10,151,04-18-2020,20:15
323,61701,31,1439,04-18-2020,20:15
324,61704,16,1001,04-18-2020,20:15
325,61705,7,393,04-18-2020,20:15
326,61761,18,1159,04-18-2020,20:15
327,61764,8,304,04-18-2020,20:15
328,61801,11,521,04-18-2020,20:15
329,61802,16,513,04-18-2020,20:15
330,61820,6,482,04-18-2020,20:15
331,61821,10,735,04-18-2020,20:15
332,61822,23,663,04-18-2020,20:15
333,61853,7,356,04-18-2020,20:15
334,61874,6,207,04-18-2020,20:15
335,61910,6,77,04-18-2020,20:15
336,61938,6,299,04-18-2020,20:15
337,62002,29,236,04-18-2020,20:15
338,62024,7,45,04-18-2020,20:15
339,62025,25,179,04-18-2020,20:15
340,62034,8,73,04-18-2020,20:15
341,62035,8,114,04-18-2020,20:15
342,62040,29,486,04-18-2020,20:15
343,62052,6,121,04-18-2020,20:15
344,62060,7,75,04-18-2020,20:15
345,62069,6,54,04-18-2020,20:15
346,62095,8,87,04-18-2020,20:15
347,62201,8,45,04-18-2020,20:15
348,62203,10,51,04-18-2020,20:15
349,62204,9,51,04-18-2020,20:15
350,62205,8,58,04-18-2020,20:15
351,62206,22,126,04-18-2020,20:15
352,62207,14,43,04-18-2020,20:15
353,62208,19,168,04-18-2020,20:15
354,62220,16,160,04-18-2020,20:15
355,62221,28,259,04-18-2020,20:15
356,62223,20,123,04-18-2020,20:15
357,62226,40,235,04-18-2020,20:15
358,62233,30,317,04-18-2020,20:15
359,62234,19,205,04-18-2020,20:15
360,62236,27,204,04-18-2020,20:15
361,62249,7,109,04-18-2020,20:15
362,62258,11,121,04-18-2020,20:15
363,62265,8,57,04-18-2020,20:15
364,62269,22,309,04-18-2020,20:15
365,62278,12,115,04-18-2020,20:15
366,62294,10,116,04-18-2020,20:15
367,62298,22,187,04-18-2020,20:15
368,62301,13,265,04-18-2020,20:15
369,62305,12,108,04-18-2020,20:15
370,62448,7,77,04-18-2020,20:15
371,62471,11,170,04-18-2020,20:15
372,62521,38,346,04-18-2020,20:15
373,62522,6,114,04-18-2020,20:15
374,62526,8,229,04-18-2020,20:15
375,62568,22,296,04-18-2020,20:15
376,62650,11,304,04-18-2020,20:15
377,62702,15,671,04-18-2020,20:15
378,62703,6,448,04-18-2020,20:15
379,62711,10,271,04-18-2020,20:15
380,62801,34,692,04-18-2020,20:15
381,62864,9,452,04-18-2020,20:15
382,62901,33,599,04-18-2020,20:15
383,62959,8,485,04-18-2020,20:15
384,62992,8,74,04-18-2020,20:15
