Zip,Tested,Positive_Cases
60002,"3,832",205
60004,"19,103",637
60005,"10,142",424
60007,"8,590",560
60008,"8,423",534
60010,"11,393",505
60012,"2,454",148
60013,"4,946",286
60014,"10,225",648
60015,"8,084",340
60016,"17,871","1,503"
60018,"11,349",921
60020,"2,579",107
60021,939,53
60022,"2,471",75
60025,"12,156",654
60026,"6,456",254
60029,219,18
60030,"9,044",420
60031,"11,110",639
60033,"3,833",447
60034,457,19
60035,"11,812",407
60040,"2,167",209
60041,"2,081",105
60042,"1,691",107
60043,781,33
60044,"4,114",165
60045,"6,296",217
60046,"7,955",457
60047,"13,948",779
60048,"7,497",345
60050,"7,280",401
60051,"5,029",251
60053,"8,603",463
60056,"14,206",979
60060,"8,632",744
60061,"6,505",326
60062,"16,720",540
60064,"4,981","1,073"
60067,"14,483",556
60068,"11,375",595
60069,"5,519",144
60070,"5,270",366
60071,846,46
60073,"17,290","1,836"
60074,"9,382",742
60076,"11,862",781
60077,"8,529",604
60079,212,17
60081,"1,746",114
60083,"2,703",190
60084,"4,654",274
60085,"25,333","3,402"
60087,"9,047","1,061"
60088,"1,674",532
60089,"10,793",510
60090,"12,868","1,119"
60091,"7,669",298
60093,"6,135",279
60096,"1,400",106
60097,"2,209",114
60098,"9,326",641
60099,"8,891",913
60101,"10,269","1,177"
60102,"6,560",450
60103,"10,877",648
60104,"6,360",661
60106,"7,539",701
60107,"11,271","1,035"
60108,"10,199",547
60109,458,19
60110,"8,780","1,165"
60112,"1,079",66
60115,"11,685",691
60118,"3,591",185
60119,"2,403",107
60120,"13,501","1,866"
60123,"15,493","1,381"
60124,"5,672",361
60126,"15,576",784
60130,"8,814",271
60131,"5,163",569
60133,"11,346","1,133"
60134,"7,814",429
60135,"1,666",110
60136,"1,716",127
60137,"11,654",515
60139,"9,690",973
60140,"3,922",241
60141,"1,505",29
60142,"6,553",316
60143,"3,405",317
60145,429,26
60146,586,30
60148,"15,501",771
60150,364,16
60151,839,35
60152,"2,564",142
60153,"7,192",743
60154,"5,553",331
60155,"2,331",249
60156,"5,713",389
60157,593,36
60160,"7,899","1,067"
60162,"3,676",226
60163,"1,672",171
60164,"10,643",817
60165,"1,269",237
60168,53,7
60169,"8,256",621
60171,"2,947",216
60172,"6,442",428
60173,"2,702",185
60174,"9,896",517
60175,"8,410",416
60176,"2,802",312
60177,"6,780",589
60178,"4,819",195
60180,290,7
60181,"7,743",523
60184,562,34
60185,"10,914","1,104"
60187,"12,056",338
60188,"11,999",866
60189,"8,793",355
60190,"3,712",147
60191,"3,576",345
60192,"3,310",152
60193,"11,318",539
60194,"7,292",295
60195,915,40
60201,"15,105",486
60202,"12,580",574
60203,"1,531",50
60301,"1,035",55
60302,"12,629",430
60303,113,6
60304,"5,966",176
60305,"3,985",148
60401,"2,328",98
60402,"20,428","2,309"
60403,"5,358",402
60404,"5,349",296
60406,"8,140",823
60407,316,8
60408,"1,477",67
60409,"12,399","1,031"
60410,"2,705",167
60411,"17,636","1,506"
60415,"4,066",405
60416,"1,868",119
60417,"5,263",296
60418,"2,060",201
60419,"8,598",627
60420,"1,047",35
60421,692,34
60422,"3,370",192
60423,"7,246",445
60424,372,16
60425,"3,619",253
60426,"8,609",738
60428,"3,758",345
60429,"5,614",405
60430,"6,712",416
60431,"7,084",496
60432,"5,569",740
60433,"4,985",511
60434,"1,906",271
