update_date,update_time,County,Positive_Cases,Deaths,Tested
04-18-2020,19:45,Illinois,29160,1259,137404
04-18-2020,19:45,Chicago,12007,491,0
04-18-2020,19:45,Adams,31,0,0
04-18-2020,19:45,Alexander,1,0,0
04-18-2020,19:45,Bond,4,1,0
04-18-2020,19:45,Boone,29,2,0
04-18-2020,19:45,Bureau,8,0,0
04-18-2020,19:45,Calhoun,1,0,0
04-18-2020,19:45,Carroll,6,1,0
04-18-2020,19:45,Champaign,93,4,0
04-18-2020,19:45,Christian,25,4,0
04-18-2020,19:45,Clark,4,0,0
04-18-2020,19:45,Clay,1,0,0
04-18-2020,19:45,Clinton,44,0,0
04-18-2020,19:45,Coles,14,0,0
04-18-2020,19:45,Cook,8388,369,0
04-18-2020,19:45,Crawford,5,0,0
04-18-2020,19:45,Cumberland,2,0,0
04-18-2020,19:45,DeKalb,54,1,0
04-18-2020,19:45,De Witt,1,0,0
04-18-2020,19:45,Douglas,12,0,0
04-18-2020,19:45,DuPage,1642,82,0
04-18-2020,19:45,Effingham,4,1,0
04-18-2020,19:45,Fayette,13,1,0
04-18-2020,19:45,Ford,5,1,0
04-18-2020,19:45,Franklin,5,0,0
04-18-2020,19:45,Fulton,1,0,0
04-18-2020,19:45,Gallatin,2,0,0
04-18-2020,19:45,Greene,1,0,0
04-18-2020,19:45,Grundy,26,0,0
04-18-2020,19:45,Hamilton,1,0,0
04-18-2020,19:45,Hancock,3,0,0
04-18-2020,19:45,Henderson,2,0,0
04-18-2020,19:45,Henry,30,0,0
04-18-2020,19:45,Iroquois,12,0,0
04-18-2020,19:45,Jackson,42,4,0
04-18-2020,19:45,Jasper,7,1,0
04-18-2020,19:45,Jefferson,12,0,0
04-18-2020,19:45,Jersey,8,0,0
04-18-2020,19:45,Jo Daviess,12,0,0
04-18-2020,19:45,Johnson,2,0,0
04-18-2020,19:45,Kane,582,29,0
04-18-2020,19:45,Kankakee,272,12,0
04-18-2020,19:45,Kendall,135,3,0
04-18-2020,19:45,Knox,5,0,0
04-18-2020,19:45,Lake,2073,75,0
04-18-2020,19:45,LaSalle,27,1,0
04-18-2020,19:45,Lawrence,2,0,0
04-18-2020,19:45,Lee,17,0,0
04-18-2020,19:45,Livingston,17,0,0
04-18-2020,19:45,Logan,4,0,0
04-18-2020,19:45,McDonough,3,0,0
04-18-2020,19:45,McHenry,340,17,0
04-18-2020,19:45,McLean,83,3,0
04-18-2020,19:45,Macon,55,7,0
04-18-2020,19:45,Macoupin,21,0,0
04-18-2020,19:45,Madison,169,5,0
04-18-2020,19:45,Marion,19,0,0
04-18-2020,19:45,Marshall,3,0,0
04-18-2020,19:45,Mason,4,0,0
04-18-2020,19:45,Massac,3,0,0
