update_date,update_time,County,Positive_Cases,Deaths,Tested,NOFO_Region,Metro_Area
07-10-2020,14:45,Illinois,151767,7144,1911743,Illinois,Illinois
07-10-2020,14:45,Adams,151,1,10616,West Central,
07-10-2020,14:45,Alexander,22,0,653,Southern,Cape_Girardeau
07-10-2020,14:45,Bond,19,1,1241,Southwest Central,St_Louis
07-10-2020,14:45,Boone,630,21,6203,Northern,Rockford
07-10-2020,14:45,Brown,10,0,539,West Central,
07-10-2020,14:45,Bureau,35,2,2698,Northwest,
07-10-2020,14:45,Calhoun,1,0,319,Southwest Central,St_Louis
07-10-2020,14:45,Carroll,21,2,909,Northwest,
07-10-2020,14:45,Cass,137,8,2078,Central,
07-10-2020,14:45,Champaign,1018,17,38045,Northeast Central,Champaign-Urbana
07-10-2020,14:45,Chicago,54676,2666,480990,Chicago,Chicago
07-10-2020,14:45,Christian,49,4,3013,Central,
07-10-2020,14:45,Clark,36,0,1021,Southeast Central,
07-10-2020,14:45,Clay,2,0,1300,Southeast Central,
07-10-2020,14:45,Clinton,245,17,4463,Southwest Central,St_Louis
07-10-2020,14:45,Coles,190,17,6942,Southeast Central,
07-10-2020,14:45,Cook,39929,2027,401896,Suburban,Chicago
07-10-2020,14:45,Crawford,19,0,1049,Southeast Central,
07-10-2020,14:45,Cumberland,30,0,1115,Southeast Central,
07-10-2020,14:45,De Witt,16,0,1197,North Central,Bloomington
07-10-2020,14:45,DeKalb,619,20,11245,Northern,Elgin
07-10-2020,14:45,Douglas,55,0,2055,Northeast Central,
07-10-2020,14:45,DuPage,9571,483,121637,Collar,Chicago
07-10-2020,14:45,Edgar,17,0,1279,Southeast Central,
07-10-2020,14:45,Edwards,3,0,273,Southern,
07-10-2020,14:45,Effingham,27,1,3033,Southeast Central,
07-10-2020,14:45,Fayette,23,3,1816,Southeast Central,
07-10-2020,14:45,Ford,42,1,1591,Northeast Central,Champaign-Urbana
07-10-2020,14:45,Franklin,40,0,3499,Southern,
07-10-2020,14:45,Fulton,16,0,2852,North Central,
07-10-2020,14:45,Gallatin,5,0,210,Southern,
07-10-2020,14:45,Greene,8,0,1055,Central,
07-10-2020,14:45,Grundy,188,5,4125,Collar,Chicago
07-10-2020,14:45,Hamilton,7,0,450,Southern,
07-10-2020,14:45,Hancock,20,1,1270,West Central,
07-10-2020,14:45,Hardin,2,0,192,Southern,
07-10-2020,14:45,Henderson,8,0,405,West Central,
07-10-2020,14:45,Henry,106,1,4086,Northwest,Davenport
07-10-2020,14:45,Iroquois,172,5,3697,Northeast Central,
07-10-2020,14:45,Jackson,347,19,6255,Southern,Carbondale-Marion
07-10-2020,14:45,Jasper,47,7,1007,Southeast Central,
07-10-2020,14:45,Jefferson,115,17,3114,Southern,
07-10-2020,14:45,Jersey,40,1,1480,Southwest Central,St_Louis
07-10-2020,14:45,Jo Daviess,52,1,1868,Northwest,
07-10-2020,14:45,Johnson,24,0,797,Southern,
07-10-2020,14:45,Kane,8028,281,69454,Collar,Elgin
07-10-2020,14:45,Kankakee,1401,65,19324,Collar,Kankakee
07-10-2020,14:45,Kendall,1032,23,13204,Collar,Chicago
07-10-2020,14:45,Knox,157,0,4171,West Central,
07-10-2020,14:45,Lake,10253,428,98873,Collar,Lake
07-10-2020,14:45,LaSalle,246,17,9783,Northwest,
07-10-2020,14:45,Lawrence,9,0,1316,Southeast Central,
07-10-2020,14:45,Lee,105,2,2682,Northwest,
07-10-2020,14:45,Livingston,54,2,3085,North Central,
07-10-2020,14:45,Logan,18,0,4138,Central,
07-10-2020,14:45,Macon,243,22,9958,Central,Decatur
07-10-2020,14:45,Macoupin,66,3,5485,Central,St_Louis
07-10-2020,14:45,Madison,1133,70,22482,Southwest Central,St_Louis
07-10-2020,14:45,Marion,77,0,3431,Southeast Central,
07-10-2020,14:45,Marshall,12,0,1090,North Central,Peoria
07-10-2020,14:45,Mason,24,0,1529,North Central,
07-10-2020,14:45,Massac,15,0,1156,Southern,
07-10-2020,14:45,McDonough,104,15,2610,West Central,
07-10-2020,14:45,McHenry,2229,101,27840,Collar,Chicago
07-10-2020,14:45,McLean,308,15,15750,North Central,Bloomington
07-10-2020,14:45,Menard,31,0,1646,Central,Springfield
07-10-2020,14:45,Mercer,28,0,1232,Northwest,Davenport
07-10-2020,14:45,Monroe,150,13,2193,Southwest Central,St_Louis
07-10-2020,14:45,Montgomery,69,1,3710,Central,
07-10-2020,14:45,Morgan,132,3,4923,Central,
07-10-2020,14:45,Moultrie,20,0,1293,Southeast Central,
07-10-2020,14:45,Ogle,286,4,4938,Northern,
07-10-2020,14:45,Out Of State,2,0,17371,Out Of State,
07-10-2020,14:45,Peoria,628,30,23597,North Central,Peoria
07-10-2020,14:45,Perry,61,1,2175,Southern,
07-10-2020,14:45,Piatt,21,0,2149,Northeast Central,Champaign-Urbana
07-10-2020,14:45,Pike,6,0,978,West Central,
07-10-2020,14:45,Pope,1,0,176,Southern,
07-10-2020,14:45,Pulaski,81,0,578,Southern,
07-10-2020,14:45,Putnam,1,0,298,Northwest,
07-10-2020,14:45,Randolph,299,7,3723,Southern,
07-10-2020,14:45,Richland,8,0,1711,Southeast Central,
07-10-2020,14:45,Rock Island,1142,30,19867,Northwest,Davenport
07-10-2020,14:45,Saline,16,0,1726,Southern,
07-10-2020,14:45,Sangamon,509,33,35039,Central,Springfield
07-10-2020,14:45,Schuyler,13,0,655,West Central,
07-10-2020,14:45,Scott,1,0,573,Central,
07-10-2020,14:45,Shelby,20,1,2012,Central,
07-10-2020,14:45,St. Clair,2202,144,24868,Southwest Central,St_Louis
07-10-2020,14:45,Stark,7,0,485,North Central,Peoria
07-10-2020,14:45,Stephenson,282,6,5395,Northern,
07-10-2020,14:45,Tazewell,167,8,15391,North Central,Peoria
07-10-2020,14:45,Unassigned,43,0,43298,Unassigned,
07-10-2020,14:45,Union,202,19,2415,Southern,
07-10-2020,14:45,Vermilion,86,2,6955,Northeast Central,Danville
07-10-2020,14:45,Wabash,23,0,857,Southern,
07-10-2020,14:45,Warren,147,0,1268,West Central,
07-10-2020,14:45,Washington,25,0,941,Southwest Central,
07-10-2020,14:45,Wayne,16,1,1325,Southern,
07-10-2020,14:45,White,9,0,633,Southern,
