update_date,update_time,Zip,Positive_Cases
04-17-2020,17:34,60002,32
04-17-2020,17:34,60004,58
04-17-2020,17:34,60005,35
04-17-2020,17:34,60007,56
04-17-2020,17:34,60008,31
04-17-2020,17:34,60010,29
04-17-2020,17:34,60012,18
04-17-2020,17:34,60013,32
04-17-2020,17:34,60014,34
04-17-2020,17:34,60015,70
04-17-2020,17:34,60016,306
04-17-2020,17:34,60018,92
04-17-2020,17:34,60020,10
04-17-2020,17:34,60021,7
04-17-2020,17:34,60022,15
04-17-2020,17:34,60025,135
04-17-2020,17:34,60026,58
04-17-2020,17:34,60030,38
04-17-2020,17:34,60031,74
04-17-2020,17:34,60033,9
04-17-2020,17:34,60035,99
04-17-2020,17:34,60040,13
04-17-2020,17:34,60041,8
04-17-2020,17:34,60042,7
04-17-2020,17:34,60043,13
04-17-2020,17:34,60044,35
04-17-2020,17:34,60045,75
04-17-2020,17:34,60046,46
04-17-2020,17:34,60047,43
04-17-2020,17:34,60048,42
04-17-2020,17:34,60050,36
04-17-2020,17:34,60051,20
04-17-2020,17:34,60053,80
04-17-2020,17:34,60056,108
04-17-2020,17:34,60060,67
04-17-2020,17:34,60061,40
04-17-2020,17:34,60062,85
04-17-2020,17:34,60064,126
04-17-2020,17:34,60067,30
04-17-2020,17:34,60068,100
04-17-2020,17:34,60069,16
04-17-2020,17:34,60070,32
04-17-2020,17:34,60073,128
04-17-2020,17:34,60074,64
04-17-2020,17:34,60076,169
04-17-2020,17:34,60077,133
04-17-2020,17:34,60081,13
04-17-2020,17:34,60083,24
04-17-2020,17:34,60084,51
04-17-2020,17:34,60085,449
04-17-2020,17:34,60087,125
04-17-2020,17:34,60088,16
04-17-2020,17:34,60089,63
04-17-2020,17:34,60090,94
04-17-2020,17:34,60091,71
04-17-2020,17:34,60093,85
04-17-2020,17:34,60096,8
04-17-2020,17:34,60097,8
04-17-2020,17:34,60098,63
04-17-2020,17:34,60099,138
04-17-2020,17:34,60101,107
04-17-2020,17:34,60102,31
04-17-2020,17:34,60103,38
04-17-2020,17:34,60104,152
04-17-2020,17:34,60106,98
04-17-2020,17:34,60107,76
04-17-2020,17:34,60108,33
04-17-2020,17:34,60110,34
04-17-2020,17:34,60115,24
04-17-2020,17:34,60118,15
04-17-2020,17:34,60119,8
04-17-2020,17:34,60120,66
04-17-2020,17:34,60123,67
04-17-2020,17:34,60124,14
04-17-2020,17:34,60126,76
04-17-2020,17:34,60130,47
04-17-2020,17:34,60131,67
04-17-2020,17:34,60133,78
04-17-2020,17:34,60134,16
04-17-2020,17:34,60136,12
04-17-2020,17:34,60137,35
04-17-2020,17:34,60139,74
04-17-2020,17:34,60140,16
04-17-2020,17:34,60142,18
04-17-2020,17:34,60143,14
04-17-2020,17:34,60148,83
04-17-2020,17:34,60153,116
04-17-2020,17:34,60154,67
04-17-2020,17:34,60155,32
04-17-2020,17:34,60156,22
04-17-2020,17:34,60160,96
04-17-2020,17:34,60162,45
04-17-2020,17:34,60163,15
04-17-2020,17:34,60164,69
04-17-2020,17:34,60165,27
04-17-2020,17:34,60169,38
04-17-2020,17:34,60171,29
04-17-2020,17:34,60172,31
04-17-2020,17:34,60173,10
04-17-2020,17:34,60174,21
04-17-2020,17:34,60175,23
04-17-2020,17:34,60176,23
04-17-2020,17:34,60177,20
04-17-2020,17:34,60178,10
04-17-2020,17:34,60181,69
04-17-2020,17:34,60185,66
04-17-2020,17:34,60187,19
04-17-2020,17:34,60188,101
04-17-2020,17:34,60189,31
04-17-2020,17:34,60190,9
04-17-2020,17:34,60191,19
04-17-2020,17:34,60192,13
04-17-2020,17:34,60193,51
04-17-2020,17:34,60194,25
04-17-2020,17:34,60201,105
04-17-2020,17:34,60202,108
04-17-2020,17:34,60203,14
04-17-2020,17:34,60301,11
04-17-2020,17:34,60302,77
04-17-2020,17:34,60304,32
04-17-2020,17:34,60305,16
