update_date,update_time,Zip,Positive_Cases,Tested
05-05-2020,14:45,46324,7,77
05-05-2020,14:45,46394,6,37
05-05-2020,14:45,53142,13,89
05-05-2020,14:45,53143,6,54
05-05-2020,14:45,53215,7,50
05-05-2020,14:45,54302,8,33
05-05-2020,14:45,60002,56,400
05-05-2020,14:45,60004,154,1573
05-05-2020,14:45,60005,82,481
05-05-2020,14:45,60007,116,563
05-05-2020,14:45,60008,134,425
05-05-2020,14:45,60010,47,442
05-05-2020,14:45,60012,55,158
05-05-2020,14:45,60013,45,250
05-05-2020,14:45,60014,90,625
05-05-2020,14:45,60015,106,605
05-05-2020,14:45,60016,637,1851
05-05-2020,14:45,60018,270,851
05-05-2020,14:45,60020,19,164
05-05-2020,14:45,60021,9,70
05-05-2020,14:45,60022,23,187
05-05-2020,14:45,60025,215,1075
05-05-2020,14:45,60026,89,369
05-05-2020,14:45,60030,83,561
05-05-2020,14:45,60031,160,736
05-05-2020,14:45,60033,63,231
05-05-2020,14:45,60035,158,832
05-05-2020,14:45,60040,49,135
05-05-2020,14:45,60041,24,132
05-05-2020,14:45,60042,14,91
05-05-2020,14:45,60043,14,88
05-05-2020,14:45,60044,58,272
05-05-2020,14:45,60045,92,473
05-05-2020,14:45,60046,97,536
05-05-2020,14:45,60047,95,436
05-05-2020,14:45,60048,67,421
05-05-2020,14:45,60050,106,477
05-05-2020,14:45,60051,54,328
05-05-2020,14:45,60053,159,680
05-05-2020,14:45,60056,305,1140
05-05-2020,14:45,60060,203,649
05-05-2020,14:45,60061,90,406
05-05-2020,14:45,60062,199,1148
05-05-2020,14:45,60064,334,612
05-05-2020,14:45,60067,72,556
05-05-2020,14:45,60068,173,777
05-05-2020,14:45,60069,40,194
05-05-2020,14:45,60070,102,355
05-05-2020,14:45,60071,6,48
05-05-2020,14:45,60073,320,1066
05-05-2020,14:45,60074,175,721
05-05-2020,14:45,60076,284,1279
05-05-2020,14:45,60077,238,1058
05-05-2020,14:45,60081,27,123
05-05-2020,14:45,60083,56,181
05-05-2020,14:45,60084,95,218
05-05-2020,14:45,60085,1251,2282
05-05-2020,14:45,60087,311,698
05-05-2020,14:45,60088,34,68
05-05-2020,14:45,60089,122,608
05-05-2020,14:45,60090,309,960
05-05-2020,14:45,60091,109,717
05-05-2020,14:45,60093,101,573
05-05-2020,14:45,60096,19,96
05-05-2020,14:45,60097,21,162
05-05-2020,14:45,60098,168,555
05-05-2020,14:45,60099,267,699
05-05-2020,14:45,60101,343,998
05-05-2020,14:45,60102,69,383
05-05-2020,14:45,60103,110,639
05-05-2020,14:45,60104,253,811
05-05-2020,14:45,60106,262,880
05-05-2020,14:45,60107,225,805
05-05-2020,14:45,60108,120,971
05-05-2020,14:45,60110,217,533
05-05-2020,14:45,60112,15,65
05-05-2020,14:45,60115,52,485
05-05-2020,14:45,60118,30,162
05-05-2020,14:45,60119,16,141
05-05-2020,14:45,60120,379,918
05-05-2020,14:45,60123,230,773
05-05-2020,14:45,60124,34,246
05-05-2020,14:45,60126,152,934
05-05-2020,14:45,60130,72,484
05-05-2020,14:45,60131,180,643
05-05-2020,14:45,60133,303,830
05-05-2020,14:45,60134,76,340
05-05-2020,14:45,60135,14,97
05-05-2020,14:45,60136,23,102
05-05-2020,14:45,60137,73,558
05-05-2020,14:45,60139,258,875
05-05-2020,14:45,60140,40,249
05-05-2020,14:45,60141,6,141
05-05-2020,14:45,60142,43,405
05-05-2020,14:45,60143,85,390
05-05-2020,14:45,60148,149,901
05-05-2020,14:45,60152,30,170
05-05-2020,14:45,60153,264,1007
05-05-2020,14:45,60154,115,623
05-05-2020,14:45,60155,106,324
05-05-2020,14:45,60156,55,373
05-05-2020,14:45,60157,6,33
05-05-2020,14:45,60160,321,990
05-05-2020,14:45,60162,88,336
05-05-2020,14:45,60163,47,170
05-05-2020,14:45,60164,234,1132
05-05-2020,14:45,60165,89,193
05-05-2020,14:45,60169,167,613
05-05-2020,14:45,60171,56,315
05-05-2020,14:45,60172,122,448
05-05-2020,14:45,60173,32,159
05-05-2020,14:45,60174,62,669
05-05-2020,14:45,60175,37,347
05-05-2020,14:45,60176,67,308
05-05-2020,14:45,60177,80,350
05-05-2020,14:45,60178,18,235
05-05-2020,14:45,60181,128,583
05-05-2020,14:45,60185,263,804
05-05-2020,14:45,60187,62,503
05-05-2020,14:45,60188,244,903
05-05-2020,14:45,60189,53,426
05-05-2020,14:45,60190,20,282
05-05-2020,14:45,60191,76,315
05-05-2020,14:45,60192,26,207
05-05-2020,14:45,60193,113,569
05-05-2020,14:45,60194,61,329
05-05-2020,14:45,60195,7,54
05-05-2020,14:45,60201,196,1303
05-05-2020,14:45,60202,198,1159
05-05-2020,14:45,60203,20,127
05-05-2020,14:45,60301,16,90
05-05-2020,14:45,60302,134,935
05-05-2020,14:45,60304,49,452
05-05-2020,14:45,60305,35,286
05-05-2020,14:45,60401,30,194
05-05-2020,14:45,60402,694,2446
05-05-2020,14:45,60403,91,567
05-05-2020,14:45,60404,68,458
05-05-2020,14:45,60406,218,866
05-05-2020,14:45,60408,10,84
05-05-2020,14:45,60409,343,1530
05-05-2020,14:45,60410,21,235
05-05-2020,14:45,60411,542,2403
05-05-2020,14:45,60415,123,408
05-05-2020,14:45,60417,94,481
05-05-2020,14:45,60418,55,244
05-05-2020,14:45,60419,228,1025
05-05-2020,14:45,60422,61,366
05-05-2020,14:45,60423,90,564
05-05-2020,14:45,60425,83,528
05-05-2020,14:45,60426,277,1265
05-05-2020,14:45,60428,141,705
05-05-2020,14:45,60429,158,933
05-05-2020,14:45,60430,193,828
05-05-2020,14:45,60431,113,718
05-05-2020,14:45,60432,134,530
05-05-2020,14:45,60433,132,490
05-05-2020,14:45,60434,134,72
05-05-2020,14:45,60435,387,1762
05-05-2020,14:45,60436,99,580
05-05-2020,14:45,60438,220,958
05-05-2020,14:45,60439,57,427
05-05-2020,14:45,60440,434,1718
05-05-2020,14:45,60441,125,679
05-05-2020,14:45,60442,26,183
05-05-2020,14:45,60443,247,1081
05-05-2020,14:45,60445,88,524
05-05-2020,14:45,60446,244,1148
05-05-2020,14:45,60447,24,278
05-05-2020,14:45,60448,85,406
05-05-2020,14:45,60449,52,324
05-05-2020,14:45,60450,19,246
05-05-2020,14:45,60451,66,496
05-05-2020,14:45,60452,120,639
05-05-2020,14:45,60453,400,1487
05-05-2020,14:45,60455,197,790
05-05-2020,14:45,60456,25,119
05-05-2020,14:45,60457,79,273
05-05-2020,14:45,60458,63,403
05-05-2020,14:45,60459,206,754
05-05-2020,14:45,60461,41,238
05-05-2020,14:45,60462,157,853
05-05-2020,14:45,60463,128,405
05-05-2020,14:45,60464,27,173
05-05-2020,14:45,60465,98,408
05-05-2020,14:45,60466,363,1330
05-05-2020,14:45,60467,102,487
05-05-2020,14:45,60468,19,86
05-05-2020,14:45,60469,36,173
05-05-2020,14:45,60471,139,637
05-05-2020,14:45,60472,46,256
05-05-2020,14:45,60473,251,1143
05-05-2020,14:45,60475,50,297
05-05-2020,14:45,60476,13,81
05-05-2020,14:45,60477,135,813
05-05-2020,14:45,60478,217,1049
05-05-2020,14:45,60480,21,138
05-05-2020,14:45,60481,15,179
05-05-2020,14:45,60482,48,256
05-05-2020,14:45,60484,67,301
05-05-2020,14:45,60487,82,503
05-05-2020,14:45,60490,91,551
05-05-2020,14:45,60491,90,427
05-05-2020,14:45,60501,131,380
05-05-2020,14:45,60502,36,274
05-05-2020,14:45,60503,27,173
05-05-2020,14:45,60504,119,540
05-05-2020,14:45,60505,558,1199
05-05-2020,14:45,60506,354,1348
05-05-2020,14:45,60510,49,413
05-05-2020,14:45,60513,83,611
05-05-2020,14:45,60514,26,228
05-05-2020,14:45,60515,43,399
05-05-2020,14:45,60516,68,456
05-05-2020,14:45,60517,119,655
05-05-2020,14:45,60521,126,571
05-05-2020,14:45,60523,52,301
05-05-2020,14:45,60525,158,980
05-05-2020,14:45,60526,45,417
05-05-2020,14:45,60527,161,926
05-05-2020,14:45,60532,69,411
05-05-2020,14:45,60534,73,303
05-05-2020,14:45,60538,103,409
05-05-2020,14:45,60540,62,685
05-05-2020,14:45,60542,48,324
05-05-2020,14:45,60543,94,458
05-05-2020,14:45,60544,93,675
05-05-2020,14:45,60545,56,195
05-05-2020,14:45,60546,85,490
05-05-2020,14:45,60548,20,131
05-05-2020,14:45,60551,16,46
05-05-2020,14:45,60554,19,149
05-05-2020,14:45,60555,49,250
05-05-2020,14:45,60558,19,233
05-05-2020,14:45,60559,164,582
05-05-2020,14:45,60560,45,273
05-05-2020,14:45,60561,77,519
05-05-2020,14:45,60563,85,621
05-05-2020,14:45,60564,78,605
05-05-2020,14:45,60565,108,590
05-05-2020,14:45,60585,46,357
05-05-2020,14:45,60586,177,1034
05-05-2020,14:45,60601,60,393
05-05-2020,14:45,60602,6,60
05-05-2020,14:45,60604,10,49
05-05-2020,14:45,60605,131,873
05-05-2020,14:45,60606,34,241
05-05-2020,14:45,60607,297,1141
05-05-2020,14:45,60608,917,2996
05-05-2020,14:45,60609,840,2304
05-05-2020,14:45,60610,156,1070
05-05-2020,14:45,60611,104,1109
05-05-2020,14:45,60612,422,2131
05-05-2020,14:45,60613,266,1230
05-05-2020,14:45,60614,313,1898
05-05-2020,14:45,60615,251,1559
05-05-2020,14:45,60616,269,1650
05-05-2020,14:45,60617,602,2894
05-05-2020,14:45,60618,614,2577
05-05-2020,14:45,60619,627,2708
05-05-2020,14:45,60620,752,2972
05-05-2020,14:45,60621,337,1203
05-05-2020,14:45,60622,372,1682
05-05-2020,14:45,60623,1596,3502
05-05-2020,14:45,60624,489,1762
05-05-2020,14:45,60625,744,2358
05-05-2020,14:45,60626,590,1932
05-05-2020,14:45,60628,682,2609
05-05-2020,14:45,60629,1506,3716
05-05-2020,14:45,60630,411,1773
05-05-2020,14:45,60631,144,1258
05-05-2020,14:45,60632,1390,3163
05-05-2020,14:45,60633,181,1161
05-05-2020,14:45,60634,755,3508
05-05-2020,14:45,60636,413,1173
05-05-2020,14:45,60637,367,2136
05-05-2020,14:45,60638,624,2406
05-05-2020,14:45,60639,1590,3912
05-05-2020,14:45,60640,503,2028
05-05-2020,14:45,60641,678,2409
05-05-2020,14:45,60642,95,600
05-05-2020,14:45,60643,535,2535
05-05-2020,14:45,60644,709,2372
05-05-2020,14:45,60645,681,2189
05-05-2020,14:45,60646,213,1222
05-05-2020,14:45,60647,650,2569
05-05-2020,14:45,60649,511,2137
05-05-2020,14:45,60651,837,2558
05-05-2020,14:45,60652,450,1498
05-05-2020,14:45,60653,329,1528
05-05-2020,14:45,60654,95,534
05-05-2020,14:45,60655,185,1257
05-05-2020,14:45,60656,155,1076
05-05-2020,14:45,60657,226,1664
05-05-2020,14:45,60659,424,1246
05-05-2020,14:45,60660,250,1025
05-05-2020,14:45,60661,26,245
05-05-2020,14:45,60706,198,926
05-05-2020,14:45,60707,438,1799
